reference_id,category,scope_segment,scope_management_mode,scope_org_id,threshold_slug,threshold_category,policy_owner_role,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
atd-disbursement-1,approval_threshold_policy,middle_market,third_party_managed,,threshold_disbursement_1,disbursement,property_manager,5000,dollars,benchmark,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:policy_threshold_agent,Single-invoice disbursement PM-approvable ceiling.
atd-disbursement-2,approval_threshold_policy,middle_market,third_party_managed,,threshold_disbursement_2,disbursement,regional_manager,25000,dollars,benchmark,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:policy_threshold_agent,Regional-approvable single-invoice disbursement ceiling.
atd-procurement,approval_threshold_policy,middle_market,third_party_managed,,threshold_procurement,procurement,regional_manager,50000,dollars,benchmark,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:policy_threshold_agent,Procurement commitments above this require asset_manager approval.
atd-bid-major,approval_threshold_policy,middle_market,third_party_managed,,threshold_bid_major,bid_award,asset_manager,100000,dollars,benchmark,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:policy_threshold_agent,Major bid awards require asset_manager approval.
atd-co-minor,approval_threshold_policy,middle_market,third_party_managed,,threshold_co_minor,change_order,construction_manager,25000,dollars,benchmark,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:policy_threshold_agent,Minor change-order ceiling; construction_manager approves.
atd-co-major,approval_threshold_policy,middle_market,third_party_managed,,threshold_co_major,change_order,asset_manager,100000,dollars,benchmark,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:policy_threshold_agent,Major change-order ceiling; asset_manager approves.
atd-concession-policy-max,approval_threshold_policy,middle_market,third_party_managed,,concession_policy_max,concession,regional_manager,1.0,months,benchmark,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:policy_threshold_agent,Maximum concession (in equivalent months) PM may grant without regional approval.
atd-concession-leaseup-max,approval_threshold_policy,middle_market,third_party_managed,,concession_policy_max_leaseup,concession,asset_manager,2.0,months,benchmark,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:policy_threshold_agent,Maximum concession during lease-up without asset_manager approval.
atd-writeoff,approval_threshold_policy,middle_market,third_party_managed,,threshold_writeoff,write_off,asset_manager,2500,dollars,benchmark,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:policy_threshold_agent,Per-account write-off ceiling before AM approval.
atd-lease-deviation,approval_threshold_policy,middle_market,third_party_managed,,threshold_lease_deviation,lease_deviation,regional_manager,500,dollars,placeholder,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,low,placeholder,agent:policy_threshold_agent,Placeholder for material lease deviations dollar trigger.
atd-capex-release,approval_threshold_policy,middle_market,third_party_managed,,threshold_capex_release,capex_release,asset_manager,50000,dollars,benchmark,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:policy_threshold_agent,Single-project capex release ceiling under the capex budget.
atd-contract-award,approval_threshold_policy,middle_market,third_party_managed,,threshold_contract_award,contract_award,asset_manager,150000,dollars,benchmark,Default approval matrix starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:policy_threshold_agent,Contract commitment ceiling.
