reference_id,category,scope_segment,scope_management_mode,scorecard_dimension,metric_slug,weight,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
tpm-sc-mm-ops-physocc,occupancy_benchmark,middle_market,third_party_managed,operations,physical_occupancy,0.10,0.10,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Physical occupancy weight in ops dimension.
tpm-sc-mm-ops-leasedocc,occupancy_benchmark,middle_market,third_party_managed,operations,leased_occupancy,0.08,0.08,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Leased occupancy weight.
tpm-sc-mm-ops-econocc,occupancy_benchmark,middle_market,third_party_managed,operations,economic_occupancy,0.10,0.10,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Economic occupancy weight.
tpm-sc-mm-ops-collections,occupancy_benchmark,middle_market,third_party_managed,operations,collections_rate,0.10,0.10,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Collections rate weight.
tpm-sc-mm-ops-delinq30,occupancy_benchmark,middle_market,third_party_managed,operations,delinquency_rate_30plus,0.08,0.08,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Delinquency 30+ weight.
tpm-sc-mm-rev-tradeout-new,occupancy_benchmark,middle_market,third_party_managed,revenue,rent_growth_new_lease,0.08,0.08,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,New-lease trade-out weight.
tpm-sc-mm-rev-tradeout-ren,occupancy_benchmark,middle_market,third_party_managed,revenue,rent_growth_renewal,0.08,0.08,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Renewal trade-out weight.
tpm-sc-mm-rev-ltl,occupancy_benchmark,middle_market,third_party_managed,revenue,loss_to_lease,0.05,0.05,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Loss-to-lease weight.
tpm-sc-mm-exp-payroll,occupancy_benchmark,middle_market,third_party_managed,expense,payroll_per_unit,0.06,0.06,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Payroll-per-unit weight.
tpm-sc-mm-exp-rm,occupancy_benchmark,middle_market,third_party_managed,expense,rm_per_unit,0.05,0.05,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,R&M weight.
tpm-sc-mm-exp-utilities,occupancy_benchmark,middle_market,third_party_managed,expense,utilities_per_unit,0.04,0.04,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Utilities-per-unit weight.
tpm-sc-mm-exp-ctrl,occupancy_benchmark,middle_market,third_party_managed,expense,controllable_opex_per_unit,0.05,0.05,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Controllable opex weight.
tpm-sc-mm-service-leadresp,occupancy_benchmark,middle_market,third_party_managed,service,lead_response_time,0.03,0.03,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Lead response weight.
tpm-sc-mm-service-woaging,occupancy_benchmark,middle_market,third_party_managed,service,work_order_aging,0.04,0.04,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,WO aging weight.
tpm-sc-mm-service-turnover,occupancy_benchmark,middle_market,third_party_managed,service,turnover_rate,0.03,0.03,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Turnover weight.
tpm-sc-mm-reporting-forecast,occupancy_benchmark,middle_market,third_party_managed,reporting,forecast_accuracy,0.03,0.03,ratio,benchmark,Internal TPM scorecard weights starter (illustrative),internal_record,2026-04-01,2026-03-31,medium,starter,agent:tpm_scorecard_agent,Forecast hit-rate weight.
