reference_id,category,scope_region,scope_market,scope_segment,scope_sku_tier,material_slug,material_category,trailing_12mo_change_pct,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
mc-w-lvp-6mm-mm,material_cost,west,,middle_market,middle_market,lvp_flooring_6mm,flooring,3.2,3.55,dollars_per_sf,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-lvp-5mm-mm,material_cost,west,,middle_market,middle_market,lvp_flooring_5mm,flooring,2.7,3.05,dollars_per_sf,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-carpet-poly-mm,material_cost,west,,middle_market,middle_market,carpet_polyester_med,flooring,1.4,2.25,dollars_per_sf,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-paint-eggshell-mm,material_cost,west,,middle_market,middle_market,interior_paint_eggshell,paint,2.2,34.00,dollars_per_gallon,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-range-elec-30-mm,material_cost,west,,middle_market,middle_market,appliance_range_electric_30,appliances,5.5,615,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-fridge-18cf-mm,material_cost,west,,middle_market,middle_market,appliance_refrigerator_18cf,appliances,4.0,725,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-dw-std-mm,material_cost,west,,middle_market,middle_market,appliance_dishwasher_std,appliances,3.2,365,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-micro-overrange-mm,material_cost,west,,middle_market,middle_market,appliance_microwave_overrange,appliances,1.8,285,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-toilet-128-mm,material_cost,west,,middle_market,middle_market,toilet_1_28gpf,plumbing_fixtures,1.9,185,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-faucet-kitchen-mm,material_cost,west,,middle_market,middle_market,faucet_kitchen_std,plumbing_fixtures,2.3,98,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-roof-shingle-30yr,material_cost,west,,middle_market,middle_market,roof_shingle_30yr,roofing,6.1,142,dollars_per_square_roofing,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-lumber-2x4x8,material_cost,west,,middle_market,builder_grade,lumber_2x4x8_spf,lumber,-2.8,4.40,dollars_per_board_foot,benchmark,Commodity index aggregate (illustrative),commodity_index,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,West-coast lumber slightly higher given transport.
mc-w-drywall-1-2-4x8,material_cost,west,,middle_market,middle_market,drywall_1_2_4x8_sheet,drywall,1.4,15.25,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
mc-w-hvac-35ton-cond-mm,material_cost,west,,middle_market,middle_market,hvac_condenser_3_5ton,hvac_components,4.2,2345,dollars_per_each,benchmark,Internal purchasing aggregate (illustrative),internal_record,2026-03-12,2026-02-28,medium,starter,agent:material_cost_agent,Starter.
