reference_id,category,scope_market,scope_submarket,scope_segment,scope_property_form,scope_property_class,unit_type_label,unit_beds,unit_baths,unit_sf_avg,value,rent_per_sf,sample_size_properties,trailing_3mo_change_pct,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
mrb-dallas-uptown-mm-urbanmidrise-s-20260331,market_rent_benchmark,Dallas,Uptown,middle_market,urban_mid_rise,A,Studio,0,1,530,1695,3.20,8,0.9,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Dallas submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-dallas-uptown-mm-urbanmidrise-a1-20260331,market_rent_benchmark,Dallas,Uptown,middle_market,urban_mid_rise,A,A1,1,1,735,1945,2.65,8,1.1,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Dallas submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-dallas-uptown-mm-urbanmidrise-b1-20260331,market_rent_benchmark,Dallas,Uptown,middle_market,urban_mid_rise,A,B1,2,2,1070,2465,2.30,8,1.3,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Dallas submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-dallas-plano-mm-garden-a1-20260331,market_rent_benchmark,Dallas,Plano,middle_market,garden,B,A1,1,1,725,1585,2.19,13,0.8,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Dallas submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-dallas-plano-mm-garden-b1-20260331,market_rent_benchmark,Dallas,Plano,middle_market,garden,B,B1,2,2,1055,1855,1.76,13,0.9,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Dallas submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-dallas-frisco-mm-garden-a1-20260331,market_rent_benchmark,Dallas,Frisco,middle_market,garden,B,A1,1,1,730,1605,2.20,11,1.0,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Dallas submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-dallas-frisco-mm-garden-b1-20260331,market_rent_benchmark,Dallas,Frisco,middle_market,garden,B,B1,2,2,1060,1895,1.79,11,1.1,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Dallas submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-dallas-farmersbranch-mm-garden-a1-20260331,market_rent_benchmark,Dallas,Farmers Branch,middle_market,garden,C,A1,1,1,720,1415,1.96,9,0.4,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Dallas submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-dallas-farmersbranch-mm-garden-b1-20260331,market_rent_benchmark,Dallas,Farmers Branch,middle_market,garden,C,B1,2,2,1050,1665,1.59,9,0.6,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Dallas submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-dallas-richardson-mm-garden-a1-20260331,market_rent_benchmark,Dallas,Richardson,middle_market,garden,B,A1,1,1,720,1545,2.15,12,0.7,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Dallas submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-dallas-richardson-mm-garden-b1-20260331,market_rent_benchmark,Dallas,Richardson,middle_market,garden,B,B1,2,2,1050,1815,1.73,12,0.8,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Dallas submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
