reference_id,category,scope_market,scope_region,scope_state,scope_county,scope_segment,scope_property_form,assumption_slug,assumption_category,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
ita-charlotte-propins,insurance_tax_assumption,Charlotte,southeast,NC,Mecklenburg,middle_market,garden,property_insurance_per_unit,property_insurance,385,dollars_per_unit_per_year,benchmark,Internal underwriting placeholders (illustrative),internal_record,2026-03-28,2026-02-28,low,placeholder,agent:insurance_tax_agent,Placeholder; real figure must come from broker quote.
ita-charlotte-genliab,insurance_tax_assumption,Charlotte,southeast,NC,Mecklenburg,middle_market,garden,liability_insurance_per_unit,liability_insurance,75,dollars_per_unit_per_year,benchmark,Internal underwriting placeholders (illustrative),internal_record,2026-03-28,2026-02-28,low,placeholder,agent:insurance_tax_agent,Placeholder.
ita-charlotte-retax,insurance_tax_assumption,Charlotte,southeast,NC,Mecklenburg,middle_market,garden,real_estate_tax_effective_rate,real_estate_tax,0.0105,percent_of_value,benchmark,Internal underwriting placeholders (illustrative),internal_record,2026-03-28,2026-02-28,low,placeholder,agent:insurance_tax_agent,Effective RE-tax rate placeholder; verify with county.
ita-atlanta-propins,insurance_tax_assumption,Atlanta,southeast,GA,Fulton,middle_market,garden,property_insurance_per_unit,property_insurance,415,dollars_per_unit_per_year,benchmark,Internal underwriting placeholders (illustrative),internal_record,2026-03-28,2026-02-28,low,placeholder,agent:insurance_tax_agent,Placeholder; windstorm premium region.
ita-atlanta-retax,insurance_tax_assumption,Atlanta,southeast,GA,Fulton,middle_market,garden,real_estate_tax_effective_rate,real_estate_tax,0.0145,percent_of_value,benchmark,Internal underwriting placeholders (illustrative),internal_record,2026-03-28,2026-02-28,low,placeholder,agent:insurance_tax_agent,Placeholder.
ita-nashville-propins,insurance_tax_assumption,Nashville,southeast,TN,Davidson,middle_market,garden,property_insurance_per_unit,property_insurance,395,dollars_per_unit_per_year,benchmark,Internal underwriting placeholders (illustrative),internal_record,2026-03-28,2026-02-28,low,placeholder,agent:insurance_tax_agent,Placeholder.
ita-nashville-retax,insurance_tax_assumption,Nashville,southeast,TN,Davidson,middle_market,garden,real_estate_tax_effective_rate,real_estate_tax,0.0120,percent_of_value,benchmark,Internal underwriting placeholders (illustrative),internal_record,2026-03-28,2026-02-28,low,placeholder,agent:insurance_tax_agent,Placeholder.
ita-dallas-propins,insurance_tax_assumption,Dallas,southwest,TX,Dallas,middle_market,garden,property_insurance_per_unit,property_insurance,445,dollars_per_unit_per_year,benchmark,Internal underwriting placeholders (illustrative),internal_record,2026-03-28,2026-02-28,low,placeholder,agent:insurance_tax_agent,Placeholder; TX insurance higher.
ita-dallas-retax,insurance_tax_assumption,Dallas,southwest,TX,Dallas,middle_market,garden,real_estate_tax_effective_rate,real_estate_tax,0.0245,percent_of_value,benchmark,Internal underwriting placeholders (illustrative),internal_record,2026-03-28,2026-02-28,low,placeholder,agent:insurance_tax_agent,Placeholder; TX effective property tax higher.
ita-phoenix-propins,insurance_tax_assumption,Phoenix,west,AZ,Maricopa,middle_market,garden,property_insurance_per_unit,property_insurance,385,dollars_per_unit_per_year,benchmark,Internal underwriting placeholders (illustrative),internal_record,2026-03-28,2026-02-28,low,placeholder,agent:insurance_tax_agent,Placeholder.
ita-phoenix-retax,insurance_tax_assumption,Phoenix,west,AZ,Maricopa,middle_market,garden,real_estate_tax_effective_rate,real_estate_tax,0.0085,percent_of_value,benchmark,Internal underwriting placeholders (illustrative),internal_record,2026-03-28,2026-02-28,low,placeholder,agent:insurance_tax_agent,Placeholder.
