reference_id,category,scope_market,scope_region,scope_segment,scope_management_mode,role_slug,band_type,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
pa-se-mm-3pm-pm-base-mid,payroll_assumption,,southeast,middle_market,third_party_managed,property_manager,base_salary_mid,72000,dollars_per_year,benchmark,Internal payroll survey (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:payroll_benchmark_agent,Mid of base-salary band.
pa-se-mm-3pm-pm-base-low,payroll_assumption,,southeast,middle_market,third_party_managed,property_manager,base_salary_low,62000,dollars_per_year,benchmark,Internal payroll survey (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:payroll_benchmark_agent,Low of base-salary band.
pa-se-mm-3pm-pm-base-high,payroll_assumption,,southeast,middle_market,third_party_managed,property_manager,base_salary_high,85000,dollars_per_year,benchmark,Internal payroll survey (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:payroll_benchmark_agent,High of base-salary band.
pa-se-mm-3pm-apm-base-mid,payroll_assumption,,southeast,middle_market,third_party_managed,assistant_property_manager,base_salary_mid,56000,dollars_per_year,benchmark,Internal payroll survey (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:payroll_benchmark_agent,Mid of base-salary band.
pa-se-mm-3pm-leasing-hourly-mid,payroll_assumption,,southeast,middle_market,third_party_managed,leasing_agent,hourly_mid,22,dollars_per_hour,benchmark,Internal payroll survey (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:payroll_benchmark_agent,Mid hourly. Commission programs tracked separately.
pa-se-mm-3pm-msupv-base-mid,payroll_assumption,,southeast,middle_market,third_party_managed,maintenance_supervisor,base_salary_mid,68000,dollars_per_year,benchmark,Internal payroll survey (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:payroll_benchmark_agent,Mid of base-salary band.
pa-se-mm-3pm-mtech-hourly-mid,payroll_assumption,,southeast,middle_market,third_party_managed,maintenance_tech,hourly_mid,24,dollars_per_hour,benchmark,Internal payroll survey (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:payroll_benchmark_agent,Mid hourly.
pa-se-mm-3pm-grounds-hourly-mid,payroll_assumption,,southeast,middle_market,third_party_managed,groundskeeper,hourly_mid,18,dollars_per_hour,benchmark,Internal payroll survey (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:payroll_benchmark_agent,Mid hourly.
pa-se-mm-3pm-burden-pct,payroll_assumption,,southeast,middle_market,third_party_managed,all_roles,burden_pct,0.18,percent,benchmark,Internal payroll survey (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:payroll_benchmark_agent,Payroll burden (FICA/SUI/FUI/workers comp).
pa-se-mm-3pm-benefits-pct,payroll_assumption,,southeast,middle_market,third_party_managed,all_roles,benefits_pct,0.12,percent,benchmark,Internal payroll survey (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:payroll_benchmark_agent,Benefits load (health/dental/401k match).
pa-se-mm-3pm-bonus-target,payroll_assumption,,southeast,middle_market,third_party_managed,property_manager,bonus_target_pct,0.10,percent,benchmark,Internal payroll survey (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:payroll_benchmark_agent,Target bonus as percent of base for PM role.
