reference_id,category,scope_region,scope_segment,scope_property_form,scope_lifecycle_stage,line_item_slug,capex_category,assembly_basis,typical_useful_life_years,yield_on_cost_assumption,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
capex-se-mm-garden-unitkit-classic,capex_line_item,southeast,middle_market,garden,renovation,unit_kitchen_package_classic,unit_interior_classic,per_unit,12,0.10,4650,dollars_per_unit,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,Classic kitchen package: counters + hardware + sink + appliance refresh.
capex-se-mm-garden-unitbath-classic,capex_line_item,southeast,middle_market,garden,renovation,unit_bath_package_classic,unit_interior_classic,per_unit,12,0.09,2350,dollars_per_unit,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,Classic bath package: vanity + fixtures + mirror + paint.
capex-se-mm-garden-unitfloor-lvp,capex_line_item,southeast,middle_market,garden,renovation,unit_flooring_lvp_package,unit_interior_classic,per_unit,10,0.08,2950,dollars_per_unit,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,Full unit LVP install.
capex-se-mm-garden-unitkit-premium,capex_line_item,southeast,middle_market,garden,renovation,unit_kitchen_package_premium,unit_interior_premium,per_unit,12,0.08,7250,dollars_per_unit,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,Premium kitchen package: full refresh + SS appliances + island.
capex-se-mm-garden-roof-shingle,capex_line_item,southeast,middle_market,garden,stabilized,roof_replace_shingle,building_envelope,per_sf,25,,8.75,dollars_per_sf,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,Asphalt shingle full replace per roof SF.
capex-se-mm-garden-parking-mill,capex_line_item,southeast,middle_market,garden,stabilized,parking_lot_mill_overlay,site_hardscape,per_sf,15,,3.85,dollars_per_sf,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,2-inch mill and overlay per parking SF.
capex-se-mm-garden-pool-resurface,capex_line_item,southeast,middle_market,garden,stabilized,pool_resurface,amenity,per_lump_sum,10,,28500,dollars_per_lump_sum,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,Per typical ~25m pool.
capex-se-mm-garden-clubhouse-refresh,capex_line_item,southeast,middle_market,garden,renovation,clubhouse_refresh,common_area,per_lump_sum,10,,185000,dollars_per_lump_sum,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,Paint + FF&E + flooring + tech for ~2000 SF clubhouse.
capex-se-mm-garden-fitness-refresh,capex_line_item,southeast,middle_market,garden,renovation,amenity_fitness_refresh,amenity,per_lump_sum,8,,92500,dollars_per_lump_sum,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,New equipment + flooring + mirrors + AV.
capex-se-mm-garden-hvac-pkg-unit,capex_line_item,southeast,middle_market,garden,stabilized,hvac_3_5ton_package_install,mep_systems,per_each,15,,5450,dollars_per_each,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,Condenser + coil + install labor per 3.5-ton unit.
capex-se-mm-garden-signage-monument,capex_line_item,southeast,middle_market,garden,renovation,site_signage_monument_refresh,site_landscape,per_lump_sum,10,,24500,dollars_per_lump_sum,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,Starter.
capex-se-mm-garden-smart-home,capex_line_item,southeast,middle_market,garden,renovation,unit_smart_home_kit,technology,per_unit,7,0.04,685,dollars_per_unit,benchmark,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,medium,starter,agent:capex_library_agent,Lock + thermostat + leak sensor per unit.
capex-se-mm-garden-solar-preasses,capex_line_item,southeast,middle_market,garden,stabilized,solar_preassessment,sustainability,per_lump_sum,30,,45000,dollars_per_lump_sum,placeholder,Internal capex library (illustrative),internal_record,2026-03-20,2026-02-28,low,placeholder,agent:capex_library_agent,Placeholder for sustainability pre-assessment; refine with vendor.
