reference_id,category,scope_market,scope_region,scope_segment,trade_slug,labor_tier,rate_type,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
lr-phoenix-plumber-journey-hrly,labor_rate,Phoenix,west,middle_market,plumber,journeyman,hourly_straight,102,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-phoenix-plumber-apprentice-hrly,labor_rate,Phoenix,west,middle_market,plumber,apprentice,hourly_straight,60,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-phoenix-electrician-journey-hrly,labor_rate,Phoenix,west,middle_market,electrician,journeyman,hourly_straight,112,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-phoenix-hvac-journey-hrly,labor_rate,Phoenix,west,middle_market,hvac_tech,journeyman,hourly_straight,125,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,HVAC trades run hotter in Phoenix given summer load.
lr-phoenix-hvac-trip,labor_rate,Phoenix,west,middle_market,hvac_tech,journeyman,flat_trip,145,dollars_per_trip,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-phoenix-painter-hrly,labor_rate,Phoenix,west,middle_market,painter,journeyman,hourly_straight,55,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-phoenix-flooring-hrly,labor_rate,Phoenix,west,middle_market,flooring_installer,journeyman,hourly_straight,62,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-phoenix-carpenter-hrly,labor_rate,Phoenix,west,middle_market,carpenter,journeyman,hourly_straight,68,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-phoenix-general-laborer-hrly,labor_rate,Phoenix,west,middle_market,general_laborer,helper,hourly_straight,34,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-phoenix-drywall-hrly,labor_rate,Phoenix,west,middle_market,drywall,journeyman,hourly_straight,57,dollars_per_hour,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
lr-phoenix-appliance-trip,labor_rate,Phoenix,west,middle_market,appliance_tech,journeyman,flat_trip,115,dollars_per_trip,benchmark,Local vendor rate survey (illustrative),local_survey,2026-03-10,2026-02-28,medium,starter,agent:labor_rate_agent,Starter.
