reference_id,category,scope_market,scope_region,scope_segment,scope_property_form,budget_line_slug,budget_line_category,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
dba-se-mm-garden-hc-shell,development_budget_assumption,,southeast,middle_market,garden,hard_cost_shell,hard_cost,125,dollars_per_gsf,benchmark,Internal dev budget norms (illustrative),internal_record,2026-03-22,2026-02-28,medium,starter,agent:dev_budget_agent,Wood-frame garden shell per GSF.
dba-se-mm-garden-hc-interior,development_budget_assumption,,southeast,middle_market,garden,hard_cost_interior,hard_cost,68,dollars_per_gsf,benchmark,Internal dev budget norms (illustrative),internal_record,2026-03-22,2026-02-28,medium,starter,agent:dev_budget_agent,Interior finish per GSF middle-market spec.
dba-se-mm-garden-site-work,development_budget_assumption,,southeast,middle_market,garden,site_work,hard_cost,18500,dollars_per_unit,benchmark,Internal dev budget norms (illustrative),internal_record,2026-03-22,2026-02-28,medium,starter,agent:dev_budget_agent,Site work per unit; varies widely by site.
dba-se-mm-garden-ffe-amenity,development_budget_assumption,,southeast,middle_market,garden,ffe_amenity,ffe,1850,dollars_per_unit,benchmark,Internal dev budget norms (illustrative),internal_record,2026-03-22,2026-02-28,medium,starter,agent:dev_budget_agent,Amenity FF&E per unit.
dba-se-mm-garden-dev-fee,development_budget_assumption,,southeast,middle_market,garden,developer_fee,developer_fee,0.04,percent_of_total,benchmark,Internal dev budget norms (illustrative),internal_record,2026-03-22,2026-02-28,medium,starter,agent:dev_budget_agent,Developer fee as percent of total project cost.
dba-se-mm-garden-sc-ae,development_budget_assumption,,southeast,middle_market,garden,soft_cost_a_e,soft_cost,0.045,percent_of_hard,benchmark,Internal dev budget norms (illustrative),internal_record,2026-03-22,2026-02-28,medium,starter,agent:dev_budget_agent,A&E soft cost percent of hard cost.
dba-se-mm-garden-sc-other,development_budget_assumption,,southeast,middle_market,garden,soft_cost_other,soft_cost,0.055,percent_of_hard,benchmark,Internal dev budget norms (illustrative),internal_record,2026-03-22,2026-02-28,medium,starter,agent:dev_budget_agent,Other soft (legal, marketing, insurance during construction).
dba-se-mm-garden-hc-contingency,development_budget_assumption,,southeast,middle_market,garden,hard_cost_contingency,contingency,0.05,percent_of_hard,benchmark,Internal dev budget norms (illustrative),internal_record,2026-03-22,2026-02-28,medium,starter,agent:dev_budget_agent,Hard-cost contingency percent.
dba-se-mm-garden-sc-contingency,development_budget_assumption,,southeast,middle_market,garden,soft_cost_contingency,contingency,0.05,percent_of_hard,benchmark,Internal dev budget norms (illustrative),internal_record,2026-03-22,2026-02-28,medium,starter,agent:dev_budget_agent,Soft-cost contingency percent.
dba-se-mm-garden-financing,development_budget_assumption,,southeast,middle_market,garden,financing_cost,financing_cost,0.07,percent_of_total,placeholder,Internal dev budget norms (illustrative),internal_record,2026-03-22,2026-02-28,low,placeholder,agent:dev_budget_agent,Interest reserve + fees as percent of total; placeholder pending deal-specific.
dba-se-mm-garden-land,development_budget_assumption,,southeast,middle_market,garden,land,land,28500,dollars_per_unit,placeholder,Internal dev budget norms (illustrative),internal_record,2026-03-22,2026-02-28,low,placeholder,agent:dev_budget_agent,Placeholder land per-unit; highly submarket-dependent.
