reference_id,category,scope_market,scope_region,scope_segment,scope_property_form,scope_project_size_band,milestone_slug,milestone_category,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
cda-se-mm-garden-200-entitle,construction_duration_assumption,,southeast,middle_market,garden,200_to_299_units,entitlements_to_permit,predev,9,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Entitlements-to-permit by-right site.
cda-se-mm-garden-200-sitework,construction_duration_assumption,,southeast,middle_market,garden,200_to_299_units,site_work,site,3,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Starter.
cda-se-mm-garden-200-foundation,construction_duration_assumption,,southeast,middle_market,garden,200_to_299_units,foundation,structure,3,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Starter.
cda-se-mm-garden-200-framing,construction_duration_assumption,,southeast,middle_market,garden,200_to_299_units,framing,structure,6,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Wood-frame garden framing.
cda-se-mm-garden-200-mep-rough,construction_duration_assumption,,southeast,middle_market,garden,200_to_299_units,mep_rough,mep,4,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Starter.
cda-se-mm-garden-200-drywall,construction_duration_assumption,,southeast,middle_market,garden,200_to_299_units,drywall,interior,3,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Starter.
cda-se-mm-garden-200-exterior,construction_duration_assumption,,southeast,middle_market,garden,200_to_299_units,exterior_finish,envelope,3,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Starter.
cda-se-mm-garden-200-interior,construction_duration_assumption,,southeast,middle_market,garden,200_to_299_units,interior_finish,interior,4,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Starter.
cda-se-mm-garden-200-ttco,construction_duration_assumption,,southeast,middle_market,garden,200_to_299_units,ttco,close_out,1,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,First TCO.
cda-se-mm-garden-200-full-co,construction_duration_assumption,,southeast,middle_market,garden,200_to_299_units,full_co,close_out,3,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Full CO after TCO.
cda-se-mm-garden-200-leaseup,construction_duration_assumption,,southeast,middle_market,garden,200_to_299_units,lease_up_start,lease_up,15,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Lease-up months to stabilized occupancy.
cda-se-mm-midrise-200-framing,construction_duration_assumption,,southeast,middle_market,urban_mid_rise,200_to_299_units,framing,structure,8,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Mid-rise stick or podium framing longer than garden.
cda-se-mm-midrise-200-interior,construction_duration_assumption,,southeast,middle_market,urban_mid_rise,200_to_299_units,interior_finish,interior,5,months,benchmark,Internal schedule norms (illustrative),internal_record,2026-03-24,2026-02-28,medium,starter,agent:construction_duration_agent,Starter.
