reference_id,category,scope_segment,scope_property_form,scope_management_mode,role_slug,property_size_band,fte_count,units_per_fte,value,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
sm-mm-garden-3pm-pm-under100,staffing_model,middle_market,garden,third_party_managed,property_manager,under_100,0.5,180,0.5,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Half-time PM often shared across two sub-100 communities.
sm-mm-garden-3pm-pm-100199,staffing_model,middle_market,garden,third_party_managed,property_manager,100_to_199,1,150,1,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-garden-3pm-pm-200299,staffing_model,middle_market,garden,third_party_managed,property_manager,200_to_299,1,250,1,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-garden-3pm-pm-300399,staffing_model,middle_market,garden,third_party_managed,property_manager,300_to_399,1,350,1,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-garden-3pm-apm-200299,staffing_model,middle_market,garden,third_party_managed,assistant_property_manager,200_to_299,1,250,1,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Assistant PM becomes full-time at ~200+ units.
sm-mm-garden-3pm-leasing-100199,staffing_model,middle_market,garden,third_party_managed,leasing_agent,100_to_199,1,150,1,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-garden-3pm-leasing-200299,staffing_model,middle_market,garden,third_party_managed,leasing_agent,200_to_299,2,125,2,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-garden-3pm-leasing-300399,staffing_model,middle_market,garden,third_party_managed,leasing_agent,300_to_399,2,175,2,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-garden-3pm-msupv-200299,staffing_model,middle_market,garden,third_party_managed,maintenance_supervisor,200_to_299,1,250,1,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-garden-3pm-mtech-100199,staffing_model,middle_market,garden,third_party_managed,maintenance_tech,100_to_199,1,150,1,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-garden-3pm-mtech-200299,staffing_model,middle_market,garden,third_party_managed,maintenance_tech,200_to_299,2,125,2,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-garden-3pm-mtech-300399,staffing_model,middle_market,garden,third_party_managed,maintenance_tech,300_to_399,3,115,3,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-garden-3pm-mkready-200299,staffing_model,middle_market,garden,third_party_managed,make_ready_tech,200_to_299,1,250,1,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-garden-3pm-grounds-200299,staffing_model,middle_market,garden,third_party_managed,groundskeeper,200_to_299,1,250,1,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-midrise-3pm-pm-200299,staffing_model,middle_market,urban_mid_rise,third_party_managed,property_manager,200_to_299,1,250,1,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,medium,starter,agent:staffing_model_agent,Starter.
sm-mm-midrise-3pm-concierge-200299,staffing_model,middle_market,urban_mid_rise,third_party_managed,concierge,200_to_299,2,125,2,fte,benchmark,Internal staffing norms (illustrative),internal_record,2026-03-05,2026-02-28,low,placeholder,agent:staffing_model_agent,Concierge is a placeholder; varies widely by urban mid-rise programming.
