reference_id,category,scope_market,scope_submarket,scope_segment,scope_property_form,scope_property_class,unit_type_label,unit_beds,unit_baths,unit_sf_avg,value,rent_per_sf,sample_size_properties,trailing_3mo_change_pct,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
mrb-phoenix-tempe-mm-garden-s-20260331,market_rent_benchmark,Phoenix,Tempe,middle_market,garden,B,Studio,0,1,515,1395,2.71,11,0.6,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Phoenix submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-phoenix-tempe-mm-garden-a1-20260331,market_rent_benchmark,Phoenix,Tempe,middle_market,garden,B,A1,1,1,720,1545,2.15,11,0.8,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Phoenix submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-phoenix-tempe-mm-garden-b1-20260331,market_rent_benchmark,Phoenix,Tempe,middle_market,garden,B,B1,2,2,1055,1795,1.70,11,1.0,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Phoenix submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-phoenix-chandler-mm-garden-a1-20260331,market_rent_benchmark,Phoenix,Chandler,middle_market,garden,B,A1,1,1,720,1525,2.12,13,0.7,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Phoenix submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-phoenix-chandler-mm-garden-b1-20260331,market_rent_benchmark,Phoenix,Chandler,middle_market,garden,B,B1,2,2,1050,1775,1.69,13,0.9,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Phoenix submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-phoenix-glendale-mm-garden-a1-20260331,market_rent_benchmark,Phoenix,Glendale,middle_market,garden,C,A1,1,1,715,1435,2.01,10,0.3,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Phoenix submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-phoenix-glendale-mm-garden-b1-20260331,market_rent_benchmark,Phoenix,Glendale,middle_market,garden,C,B1,2,2,1045,1685,1.61,10,0.5,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Phoenix submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-phoenix-mesa-mm-garden-a1-20260331,market_rent_benchmark,Phoenix,Mesa,middle_market,garden,B,A1,1,1,720,1495,2.08,12,0.6,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Phoenix submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-phoenix-mesa-mm-garden-b1-20260331,market_rent_benchmark,Phoenix,Mesa,middle_market,garden,B,B1,2,2,1050,1745,1.66,12,0.8,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Phoenix submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-phoenix-downtown-mm-urbanmidrise-s-20260331,market_rent_benchmark,Phoenix,Downtown,middle_market,urban_mid_rise,A,Studio,0,1,525,1665,3.17,7,1.0,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Phoenix submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-phoenix-downtown-mm-urbanmidrise-a1-20260331,market_rent_benchmark,Phoenix,Downtown,middle_market,urban_mid_rise,A,A1,1,1,730,1895,2.60,7,1.2,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Phoenix submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
