reference_id,category,scope_market,scope_submarket,scope_segment,scope_property_form,scope_property_class,unit_type_label,unit_beds,unit_baths,unit_sf_avg,value,rent_per_sf,sample_size_properties,trailing_3mo_change_pct,unit,scenario,source_name,source_type,source_date,as_of_date,confidence,status,proposed_by,notes
mrb-charlotte-southend-mm-garden-s-20260331,market_rent_benchmark,Charlotte,South End,middle_market,garden,B,Studio,0,1,520,1485,2.86,14,1.4,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-charlotte-southend-mm-garden-a1-20260331,market_rent_benchmark,Charlotte,South End,middle_market,garden,B,A1,1,1,720,1625,2.26,14,1.8,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-charlotte-southend-mm-garden-a2-20260331,market_rent_benchmark,Charlotte,South End,middle_market,garden,B,A2,1,1,795,1740,2.19,14,1.9,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-charlotte-southend-mm-garden-b1-20260331,market_rent_benchmark,Charlotte,South End,middle_market,garden,B,B1,2,2,1050,1935,1.84,14,2.1,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-charlotte-southend-mm-garden-b2-20260331,market_rent_benchmark,Charlotte,South End,middle_market,garden,B,B2,2,2,1180,2085,1.77,14,2.2,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-charlotte-southend-mm-garden-c1-20260331,market_rent_benchmark,Charlotte,South End,middle_market,garden,B,C1,3,2,1385,2395,1.73,11,1.6,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-charlotte-university-mm-garden-a1-20260331,market_rent_benchmark,Charlotte,University,middle_market,garden,B,A1,1,1,715,1465,2.05,9,1.2,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-charlotte-university-mm-garden-b1-20260331,market_rent_benchmark,Charlotte,University,middle_market,garden,B,B1,2,2,1045,1745,1.67,9,1.4,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-charlotte-ballantyne-mm-garden-a1-20260331,market_rent_benchmark,Charlotte,Ballantyne,middle_market,garden,B,A1,1,1,730,1585,2.17,12,1.7,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-charlotte-ballantyne-mm-garden-b1-20260331,market_rent_benchmark,Charlotte,Ballantyne,middle_market,garden,B,B1,2,2,1055,1885,1.79,12,1.9,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-charlotte-uptown-mm-urbanmidrise-s-20260331,market_rent_benchmark,Charlotte,Uptown,middle_market,urban_mid_rise,A,Studio,0,1,540,1845,3.42,8,1.3,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
mrb-charlotte-uptown-mm-urbanmidrise-a1-20260331,market_rent_benchmark,Charlotte,Uptown,middle_market,urban_mid_rise,A,A1,1,1,745,2085,2.80,8,1.5,dollars_per_unit_per_month,benchmark,CoStar 2026-Q1 Charlotte submarket report (illustrative),costar,2026-04-05,2026-03-31,medium,sample,agent:rent_comp_ingest_agent,Sample benchmark; replace with live source.
